year,chsa_code,chsa_name,month,deaths
2007,1320,Penticton,Sep,37
2007,1320,Penticton,Oct,43
2007,1320,Penticton,Nov,31
2007,1320,Penticton,Dec,40
2007,1330,Keremeos,Jan,7
2007,1330,Keremeos,Feb,2
2007,1330,Keremeos,Mar,6
2007,1330,Keremeos,Apr,5
2007,1330,Keremeos,May,9
2007,1330,Keremeos,Jun,10
2007,1330,Keremeos,Jul,2
2007,1330,Keremeos,Aug,4
2007,1330,Keremeos,Sep,11
2007,1330,Keremeos,Oct,2
2007,1330,Keremeos,Nov,6
2007,1330,Keremeos,Dec,1
2007,1340,Princeton,Jan,8
2007,1340,Princeton,Feb,5
2007,1340,Princeton,Mar,5
2007,1340,Princeton,Apr,9
2007,1340,Princeton,May,3
2007,1340,Princeton,Jun,1
2007,1340,Princeton,Jul,6
2007,1340,Princeton,Aug,5
2007,1340,Princeton,Sep,4
2007,1340,Princeton,Oct,4
2007,1340,Princeton,Nov,7
2007,1340,Princeton,Dec,6
2007,1350,Armstrong/Spallumcheen,Jan,7
2007,1350,Armstrong/Spallumcheen,Feb,5
2007,1350,Armstrong/Spallumcheen,Mar,14
2007,1350,Armstrong/Spallumcheen,Apr,6
2007,1350,Armstrong/Spallumcheen,May,11
2007,1350,Armstrong/Spallumcheen,Jun,2
2007,1350,Armstrong/Spallumcheen,Jul,6
2007,1350,Armstrong/Spallumcheen,Aug,5
2007,1350,Armstrong/Spallumcheen,Sep,4
2007,1350,Armstrong/Spallumcheen,Oct,3
2007,1350,Armstrong/Spallumcheen,Nov,3
2007,1350,Armstrong/Spallumcheen,Dec,5
2007,1361,Vernon Centre/Coldstream,Jan,52
2007,1361,Vernon Centre/Coldstream,Feb,42
2007,1361,Vernon Centre/Coldstream,Mar,50
2007,1361,Vernon Centre/Coldstream,Apr,54
2007,1361,Vernon Centre/Coldstream,May,52
2007,1361,Vernon Centre/Coldstream,Jun,43
2007,1361,Vernon Centre/Coldstream,Jul,40
2007,1361,Vernon Centre/Coldstream,Aug,51
2007,1361,Vernon Centre/Coldstream,Sep,51
2007,1361,Vernon Centre/Coldstream,Oct,40
2007,1361,Vernon Centre/Coldstream,Nov,46
2007,1361,Vernon Centre/Coldstream,Dec,42
2007,1362,North Okanagan/Lumby,Jan,10
2007,1362,North Okanagan/Lumby,Feb,6
2007,1362,North Okanagan/Lumby,Mar,5
2007,1362,North Okanagan/Lumby,Apr,10
2007,1362,North Okanagan/Lumby,May,6
2007,1362,North Okanagan/Lumby,Jun,5
2007,1362,North Okanagan/Lumby,Jul,8
2007,1362,North Okanagan/Lumby,Aug,7
2007,1362,North Okanagan/Lumby,Sep,10
2007,1362,North Okanagan/Lumby,Oct,5
2007,1362,North Okanagan/Lumby,Nov,3
2007,1362,North Okanagan/Lumby,Dec,9
2007,1371,Central Okanagan Rural,Jan,2
2007,1371,Central Okanagan Rural,Feb,1
2007,1371,Central Okanagan Rural,Mar,6
2007,1371,Central Okanagan Rural,Apr,3
2007,1371,Central Okanagan Rural,May,3
2007,1371,Central Okanagan Rural,Jun,5
2007,1371,Central Okanagan Rural,Jul,4
2007,1371,Central Okanagan Rural,Aug,2
2007,1371,Central Okanagan Rural,Sep,2
2007,1371,Central Okanagan Rural,Oct,3
2007,1371,Central Okanagan Rural,Nov,3
2007,1371,Central Okanagan Rural,Dec,4
2007,1372,West Kelowna,Jan,11
2007,1372,West Kelowna,Feb,26
2007,1372,West Kelowna,Mar,19
2007,1372,West Kelowna,Apr,25
2007,1372,West Kelowna,May,17
2007,1372,West Kelowna,Jun,23
2007,1372,West Kelowna,Jul,21
2007,1372,West Kelowna,Aug,25
2007,1372,West Kelowna,Sep,20
