year,chsa_code,chsa_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
2007,2336,Fleetwood,16,27,24,26,13,20,20,15,11,20,21,24,237
2007,2337,Guildford,21,17,21,20,19,27,20,16,18,21,25,12,237
2007,2338,West Newton,6,7,9,7,12,13,7,11,18,5,7,9,111
2007,2341,South Surrey,46,48,44,51,54,44,41,43,60,46,45,44,566
2007,2342,White Rock,33,33,28,32,28,24,30,23,19,31,20,40,341
2007,3111,Richmond City Centre,26,23,25,22,22,18,22,14,16,18,27,36,269
2007,3112,Blundell,6,3,11,11,5,9,9,8,6,11,10,10,99
2007,3113,Broadmoor,10,8,10,11,11,7,14,10,13,14,11,14,133
2007,3114,Thompson/Seafair,9,6,14,9,13,4,14,11,10,13,9,12,124
2007,3115,Steveston,11,7,16,8,4,8,6,8,12,15,7,12,114
2007,3116,East and West Cambie/Bridgeport,13,6,6,5,7,9,4,4,5,6,16,8,89
2007,3117,Gilmore/Shellmont/East/Hamilton,11,7,3,9,7,9,7,3,7,7,3,8,81
2007,3211,Downtown Vancouver,8,11,4,5,8,13,9,10,5,7,10,10,100
2007,3212,West End,21,19,28,28,26,24,25,21,20,21,19,20,272
2007,3213,Fairview,31,21,31,18,20,21,26,26,12,9,22,20,257
2007,3221,Downtown Eastside,37,33,21,34,21,18,26,24,18,27,21,20,300
2007,3222,Northeast False Creek,1,3,2,1,2,4,4,0,2,1,1,1,22
2007,3223,Grandview-Woodland,15,16,21,15,17,20,11,16,15,20,13,19,198
2007,3231,Cedar Cottage,11,9,11,5,4,6,7,5,7,13,12,8,98
2007,3232,Hastings-Sunrise,22,23,15,19,15,17,11,22,15,12,25,29,225
2007,3233,Renfrew-Collingwood,20,17,17,19,12,19,26,21,19,22,26,22,240
2007,3241,Shaughnessy/Arbutus Ridge/Kerrisdale,40,24,41,24,32,32,29,23,28,23,29,34,359
2007,3242,West Point Grey/Dunbar-Southlands,19,19,10,16,19,12,9,15,14,12,16,14,175
2007,3243,University of British Columbia,1,2,5,7,3,4,3,5,4,4,3,8,49
2007,3244,Kitsilano,24,12,12,12,5,11,25,10,12,20,12,14,169
2007,3251,Kensington,13,15,15,8,10,8,10,11,12,13,11,15,141
2007,3252,Mount Pleasant,8,12,16,14,9,10,9,10,16,9,10,9,132
2007,3253,South Cambie/Riley Park,21,25,20,17,23,23,15,21,23,22,18,19,247
2007,3261,Killarney,12,14,14,14,19,13,19,16,11,13,16,15,176
2007,3262,Oakridge/Marpole,17,26,16,20,22,26,25,28,23,20,19,24,266
2007,3263,Sunset,22,15,13,13,15,11,11,13,13,10,21,17,174
2007,3264,Victoria-Fraserview,14,19,19,17,21,17,12,17,18,22,15,22,213
2007,3311,North Vancouver City - East,11,12,17,9,12,11,13,7,7,5,10,5,119
2007,3312,North Vancouver City - West,11,21,16,12,21,16,19,16,15,15,16,12,190
2007,3313,North Vancouver DM - Central,18,13,26,14,16,20,23,19,16,20,14,18,217
2007,3314,North Vancouver DM - East,15,11,16,12,8,17,14,16,13,9,9,15,155
2007,3315,North Vancouver DM - West,7,17,9,12,17,18,7,18,11,15,11,16,158
2007,3321,West Vancouver - Lower,34,25,25,18,22,19,31,25,27,23,21,26,296
2007,3322,West Vancouver - Upper,15,14,11,13,8,12,17,10,9,10,10,15,144
2007,3323,Bowen Island/Lions Bay,2,1,2,2,2,2,1,0,3,1,2,0,18
2007,3331,Gibsons,4,6,4,6,4,12,5,4,4,4,7,9,69
2007,3332,Sechelt,14,7,9,8,10,11,11,16,13,16,10,10,135
2007,3333,Sunshine Coast Rural,7,11,6,10,7,7,12,10,6,5,11,11,103
2007,3341,Powell River City,13,10,20,12,15,12,21,14,12,10,18,21,178
2007,3342,qathet Rural,3,0,2,0,1,1,0,2,0,3,1,1,14
2007,3351,Squamish,13,7,9,3,4,8,10,6,5,6,7,9,87
2007,3352,Whistler,1,0,0,0,0,0,0,0,1,0,2,2,6
2007,3353,Howe Sound Rural,0,6,2,3,6,1,0,1,4,1,0,2,26
